id_country,country,month,description,quantity
AUS,Australia,1,MINI PAINT SET VINTAGE ,576
AUS,Australia,2,HOMEMADE JAM SCENTED CANDLES,480
AUS,Australia,3,PACK OF 12 PINK PAISLEY TISSUES ,432
AUS,Australia,4,LUNCH BAG PINK POLKADOT,30
AUS,Australia,5,ASSORTED COLOURS SILK FAN,600
AUS,Australia,6,MINI PAINT SET VINTAGE ,576
AUS,Australia,7,SET OF 12 FAIRY CAKE BAKING CASES,410
AUS,Australia,8,RED TOADSTOOL LED NIGHT LIGHT,720
AUS,Australia,9,MINI PAINT SET VINTAGE ,1152
AUS,Australia,10,SET OF 6 SPICE TINS PANTRY DESIGN,360
AUS,Australia,11,RABBIT NIGHT LIGHT,1632
AUS,Australia,12,ASSORTED BOTTLE TOP  MAGNETS ,120
AUT,Austria,2,12 PENCILS SMALL TUBE RED RETROSPOT,48
AUT,Austria,3,SET 12 KIDS COLOUR  CHALK STICKS,288
AUT,Austria,4,PACK OF 60 PINK PAISLEY CAKE CASES,48
AUT,Austria,5,MINI PAINT SET VINTAGE ,36
AUT,Austria,7,BLUE POLKADOT WRAP,25
AUT,Austria,8,BLUE EGG  SPOON,24
AUT,Austria,10,KIDS RAIN MAC BLUE,24
AUT,Austria,11,ANGEL DECORATION 3 BUTTONS ,48
AUT,Austria,12,JAM JAR WITH PINK LID,12
BHR,Bahrain,5,ICE CREAM SUNDAE LIP GLOSS,96
BHR,Bahrain,12,OCEAN SCENT CANDLE IN JEWELLED BOX,54
BEL,Belgium,1,PACK OF 12 TRADITIONAL CRAYONS,144
BEL,Belgium,2,POLKADOT PEN,48
BEL,Belgium,3,RED RETROSPOT CHARLOTTE BAG,110
BEL,Belgium,4,PACK OF 60 PINK PAISLEY CAKE CASES,48
BEL,Belgium,5,60 CAKE CASES DOLLY GIRL DESIGN,96
BEL,Belgium,6,MINI PAINT SET VINTAGE ,108
BEL,Belgium,7,FAIRY CAKES NOTEBOOK A7 SIZE,288
BEL,Belgium,8,WRAP RED VINTAGE DOILY,50
BEL,Belgium,9,BUBBLEGUM RING ASSORTED,180
BEL,Belgium,10,60 CAKE CASES DOLLY GIRL DESIGN,96
BEL,Belgium,11,SPACEBOY LUNCH BOX ,112
BEL,Belgium,12,PACK OF 60 SPACEBOY CAKE CASES,144
BRA,Brazil,4,DOLLY GIRL LUNCH BOX,24
CAN,Canada,3,COLOUR GLASS T-LIGHT HOLDER HANGING,16
CAN,Canada,5,RETRO COFFEE MUGS ASSORTED,504
CAN,Canada,6,WORLD WAR 2 GLIDERS ASSTD DESIGNS,288
CAN,Canada,7,SCOTTIE DOGS BABY BIB,48
CAN,Canada,8,SET OF 12 FAIRY CAKE BAKING CASES,16
NULL,Channel Islands,1,PINK POLKADOT WRAP ,25
NULL,Channel Islands,2,RAIN PONCHO ,407
NULL,Channel Islands,3,POLKADOT PEN,144
NULL,Channel Islands,4,PACK OF 20 NAPKINS RED APPLES,24
NULL,Channel Islands,5,BLUE POLKADOT WRAP,25
NULL,Channel Islands,6,WRAP BILLBOARD FONTS DESIGN,25
NULL,Channel Islands,8,JUMBO BAG RED RETROSPOT,220
NULL,Channel Islands,9,FUNKY DIVA PEN,96
NULL,Channel Islands,10,WHITE HANGING HEART T-LIGHT HOLDER,72
NULL,Channel Islands,11,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,36
NULL,Channel Islands,12,COSY HOUR CIGAR BOX MATCHES ,24
