id_country,country,month,description,quantity
AUS,Australia,2,PAPER BUNTING WHITE LACE,-18
AUS,Australia,3,HOMEMADE JAM SCENTED CANDLES,-86
AUS,Australia,4,COTTON APRON PANTRY DESIGN,-100
AUS,Australia,5,EASTER TIN BUNNY BOUQUET,-5
AUS,Australia,6,MULTI COLOUR SILVER T-LIGHT HOLDER,-6
AUS,Australia,7,HANGING HEART JAR T-LIGHT HOLDER,-36
AUS,Australia,9,WHITE HEART CONFETTI IN TUBE,-24
AUS,Australia,11,RIBBON REEL SNOWY VILLAGE,-120
AUS,Australia,12,RETROSPOT PARTY BAG + STICKER SET,-7
AUT,Austria,6,KINGS CHOICE BISCUIT TIN,-5
AUT,Austria,12,ANGEL DECORATION STARS ON DRESS,-48
BHR,Bahrain,1,OCEAN SCENT CANDLE IN JEWELLED BOX,-54
BEL,Belgium,1,RED SPOTTY BISCUIT TIN,-3
BEL,Belgium,2,SET/3 POLKADOT STACKING TINS,-3
BEL,Belgium,3,GLASS CHALICE BLUE SMALL ,-6
BEL,Belgium,4,PICNIC BOXES SET OF 3 RETROSPOT ,-3
BEL,Belgium,5,GRAND CHOCOLATECANDLE,-2
BEL,Belgium,6,CHILDRENS DOLLY GIRL MUG,-1
BEL,Belgium,7,LUNCH BOX I LOVE LONDON,-1
BEL,Belgium,8,LUNCH BOX I LOVE LONDON,-8
BEL,Belgium,9,12 PENCILS TALL TUBE WOODLAND,-12
BEL,Belgium,10,HENRIETTA HEN MUG ,-12
BEL,Belgium,11,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-3
NULL,Channel Islands,1,FAMILY ALBUM WHITE PICTURE FRAME,-2
NULL,Channel Islands,5,LARGE ANTIQUE WHITE PHOTO FRAME,-1
NULL,Channel Islands,8,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-1
NULL,Channel Islands,9,SMALL GLASS HEART TRINKET POT,-1
NULL,Channel Islands,11,ANTIQUE HEART SHELF UNIT,-1
CYN,Cyprus,2,Manual,-1
CYN,Cyprus,4,3 TIER CAKE TIN GREEN AND CREAM,-2
CYN,Cyprus,10,EDWARDIAN PARASOL NATURAL,-33
CZE,Czech Republic,4,PINK METAL CHICKEN HEART ,-24
CZE,Czech Republic,11,PINK METAL CHICKEN HEART ,-24
DNK,Denmark,8,BREAD BIN DINER STYLE PINK,-4
DNK,Denmark,10,WRAP 50'S  CHRISTMAS,-25
NULL,EIRE,1,MAGIC GARDEN FELT GARLAND ,-12
NULL,EIRE,2,DOLLY GIRL LUNCH BOX,-192
NULL,EIRE,3,PACK OF 20 NAPKINS PANTRY DESIGN,-12
NULL,EIRE,5,SET OF 5 LUCKY CAT MAGNETS ,-12
NULL,EIRE,6,PACK OF 72 RETROSPOT CAKE CASES,-72
NULL,EIRE,7,COLOUR GLASS T-LIGHT HOLDER HANGING,-4
NULL,EIRE,8,36 DOILIES VINTAGE CHRISTMAS,-288
NULL,EIRE,9,LUNCH BAG RED RETROSPOT,-100
