id_country,country,month,price,description,quantity
AUS,Australia,2,67.95,PAPER BUNTING WHITE LACE,-18
AUS,Australia,3,168.7,HOMEMADE JAM SCENTED CANDLES,-86
AUS,Australia,4,438.2,COTTON APRON PANTRY DESIGN,-100
AUS,Australia,5,9.9,EASTER TIN BUNNY BOUQUET,-5
AUS,Australia,6,23,MULTI COLOUR SILVER T-LIGHT HOLDER,-6
AUS,Australia,7,196.81,HANGING HEART JAR T-LIGHT HOLDER,-36
AUS,Australia,9,75,WHITE HEART CONFETTI IN TUBE,-24
AUS,Australia,11,436.73,RIBBON REEL SNOWY VILLAGE,-120
AUS,Australia,12,27.75,RETROSPOT PARTY BAG + STICKER SET,-7
AUT,Austria,6,24.2,KINGS CHOICE BISCUIT TIN,-5
AUT,Austria,12,20.16,ANGEL DECORATION STARS ON DRESS,-48
BHR,Bahrain,1,205.74,OCEAN SCENT CANDLE IN JEWELLED BOX,-54
BEL,Belgium,1,46.15,RED SPOTTY BISCUIT TIN,-3
BEL,Belgium,2,19.75,SET/3 POLKADOT STACKING TINS,-3
BEL,Belgium,3,18.4,GLASS CHALICE BLUE SMALL ,-6
BEL,Belgium,4,35.33,PICNIC BOXES SET OF 3 RETROSPOT ,-3
BEL,Belgium,5,5.4,GRAND CHOCOLATECANDLE,-2
BEL,Belgium,6,1.65,CHILDRENS DOLLY GIRL MUG,-1
BEL,Belgium,7,1.95,LUNCH BOX I LOVE LONDON,-1
BEL,Belgium,8,17.9,LUNCH BOX I LOVE LONDON,-8
BEL,Belgium,9,10.2,12 PENCILS TALL TUBE WOODLAND,-12
BEL,Belgium,10,34,HENRIETTA HEN MUG ,-12
BEL,Belgium,11,86.35,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-3
NULL,Channel Islands,1,30.5,FAMILY ALBUM WHITE PICTURE FRAME,-2
NULL,Channel Islands,5,303.45,LARGE ANTIQUE WHITE PHOTO FRAME,-1
NULL,Channel Islands,8,4.25,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-1
NULL,Channel Islands,9,2.1,SMALL GLASS HEART TRINKET POT,-1
NULL,Channel Islands,11,19.6,ANTIQUE HEART SHELF UNIT,-1
CYN,Cyprus,2,320.69,Manual,-1
CYN,Cyprus,4,35.8,3 TIER CAKE TIN GREEN AND CREAM,-2
CYN,Cyprus,10,196.35,EDWARDIAN PARASOL NATURAL,-33
CZE,Czech Republic,4,57.51,PINK METAL CHICKEN HEART ,-24
CZE,Czech Republic,11,61.51,PINK METAL CHICKEN HEART ,-24
DNK,Denmark,8,134.55,BREAD BIN DINER STYLE PINK,-4
DNK,Denmark,10,52.65,WRAP 50'S  CHRISTMAS,-25
NULL,EIRE,1,247.67,MAGIC GARDEN FELT GARLAND ,-12
NULL,EIRE,2,2574.6,DOLLY GIRL LUNCH BOX,-192
NULL,EIRE,3,3414.28,PACK OF 20 NAPKINS PANTRY DESIGN,-12
NULL,EIRE,5,87.41,SET OF 5 LUCKY CAT MAGNETS ,-12
NULL,EIRE,6,4803.36,PACK OF 72 RETROSPOT CAKE CASES,-72
NULL,EIRE,7,49.2,COLOUR GLASS T-LIGHT HOLDER HANGING,-4
NULL,EIRE,8,6196.28,36 DOILIES VINTAGE CHRISTMAS,-288
NULL,EIRE,9,447.5,LUNCH BAG RED RETROSPOT,-100
NULL,EIRE,10,1010.3,POPCORN HOLDER,-32
NULL,EIRE,11,325.38,CHOCOLATE HOT WATER BOTTLE,-24
NULL,EIRE,12,1003.31,SMALLFOLKART BAUBLE CHRISTMAS DEC,-96
NULL,European Community,6,8.5,JAM MAKING SET WITH JARS,-2
FIN,Finland,3,12.2,RED RETROSPOT PUDDING BOWL,-1
FIN,Finland,4,62.11,POLKADOT COFFEE CUP & SAUCER PINK,-27
FIN,Finland,8,4.95,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-1
FIN,Finland,10,18,POSTAGE,-1
FIN,Finland,11,120,POSTAGE,-3
